"📢推播設定時間
",,📢推播成效每周二、五更新,🤖🏆開啟率最高前五名(推播數量>=5筆),📢扭蛋機排程表看後台,,,🤖推播開啟率中位數,,,📢其他注意,,,,,,,
新SLOT-12:05、直播抽獎-活動前3分鐘,,,通關地圖、CCU紅包、每日登入、直播抽獎、外贈送寶石,,,,0.109%,,,颱風天通常會加開活動,,,,,,,
,,,,,,,,,,,,,,,,,
日期,時間,標題(最多10個字),內容,節慶,活動分類,狀態,🤖點閱次數,🤖發送次數,開啟率,🤖開啟率中位數,,🤖項目,,🤖開啟率中位數,,🤖有效數量(有開啟率的),📢推播設定邏輯
2024/7/4,19:00:00,是免費的獎勵藏寶圖！,銀卡以上登入就送你！,-,通關地圖,已發送,,,0.256%,,,其它,,0.097%,,1,
2024/7/5,19:00:00,卡片獲得速度再提升！,掉寶加倍，千萬別錯過！,-,掉寶加倍,已發送,,,0.136%,,,新海皇,,0.115%,,1,
2024/7/6,19:00:00,號外！掉寶加倍來啦！,客官您的卡片碎片漫出來啦！,-,掉寶加倍,已發送,,,0.205%,,,普發儲值,,0.130%,,1,
2024/7/7,19:00:00,限時加倍掉寶物啦！,入手卡片、碎片就趁現在！,-,掉寶加倍,已發送,,,0.127%,,,老虎機積分榜,,0.130%,,2,
2024/7/8,19:00:00,魚王賞金行動開跑啦！,千萬金幣誰來稱霸？,-,魚王積分榜,已發送,,,,,,特色購買,,0.113%,,4,
2024/7/10,19:00:00,千萬金幣等你拿！,歡迎各位捕魚高手挑戰！,-,魚王積分榜,已發送,,,0.110%,,,撈金魚,,0.020%,,5,
2024/7/11,19:00:00,釣出紫卡過夏天~,快到釣蝦場試試手氣吧！,-,複數機會獎池,已發送,,,0.132%,,,通行證,,0.081%,,3,
2024/7/12,19:00:00,一次拿到上千顆寶石？,只要MEGA WIN就行了哦！,-,外贈送寶石,已發送,,,0.185%,,,主打遊戲榜,,0.075%,,1,
2024/7/13,19:00:00,MEGA寶石大放送！,快來跟小妹一起野餐享受寶石餐吧~,-,外贈送寶石,已發送,,,0.122%,,,高設定,,0.059%,,1,
2024/7/14,19:00:00,快閃寶石活動登場！,小妹:MEGA WIN就有寶石喔！,-,外贈送寶石,已發送,,,0.139%,,,虎榜加碼,,0.062%,,2,
